,objectid,plant_code,plant_name,utility_id,utility_name,sector_name,street_address,city,county,state,zip,primsource,source_desc,tech_desc,install_mw,total_mw,bat_mw,bio_mw,coal_mw,geo_mw,hydro_mw,hydrops_mw,ng_mw,nuclear_mw,crude_mw,solar_mw,wind_mw,other_mw,source,period,longitude,latitude
659,12229,1332,West 14th Street,20813,City of Winfield - (KS),Electric Utility,West 14 @ Fairgrounds,Winfield,Cowley,Kansas,67156.0,natural gas,Natural Gas = 11.1 MW,Natural Gas Fired Combustion Turbine,11.0,11.1,,,,,,,11.1,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-97.011,37.2354
660,12230,1336,Garden City,18315,Sunflower Electric Power Corp,Electric Utility,2075 W Saint John  Street,Garden City,Finney,Kansas,67846.0,natural gas,Natural Gas = 221.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine;,256.3,221.3,,,,,,,221.3,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-100.8956,37.9703
661,12231,1353,Big Sandy,22053,Kentucky Power Co,Electric Utility,23000 Hwy 23,Louisa,Lawrence,Kentucky,41230.0,natural gas,Natural Gas = 260 MW,Natural Gas Steam Turbine,280.5,260.0,,,,,,,260.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-82.6176,38.1707
662,12232,1354,Dix Dam,10171,Kentucky Utilities Co,Electric Utility,815 Dix Dam Rd,Harrodsburg,Mercer,Kentucky,40330.0,hydroelectric,Hydroelectric = 31.5 MW,Conventional Hydroelectric,28.2,31.5,,,,,31.5,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-84.7028,37.7864
663,12233,1355,E W Brown,10171,Kentucky Utilities Co,Electric Utility,815 Dix Dam Rd,Harrodsburg,Mercer,Kentucky,40330.0,natural gas,"Coal = 412 MW, Natural Gas = 906 MW, Solar = 10 MW",Conventional Steam Coal; Natural Gas Fired Combustion Turbine; Solar Photovoltaic,1457.6,1328.0,,,412.0,,,,906.0,,,10.0,,,"EIA-860, EIA-860M and EIA-923",202305,-84.71257,37.78831
664,12234,1356,Ghent,10171,Kentucky Utilities Co,Electric Utility,9485 US Hwy 42 East,Ghent,Carroll,Kentucky,41045.0,coal,Coal = 1919 MW,Conventional Steam Coal,2225.9,1919.0,,,1919.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.035,38.7497
665,12235,1358,Haefling,10171,Kentucky Utilities Co,Electric Utility,1555 Baumann Dr.,Lexington,Fayette,Kentucky,40511.0,natural gas,Natural Gas = 24 MW,Natural Gas Fired Combustion Turbine,41.4,24.0,,,,,,,24.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-84.5194,38.0794
666,12236,1359,Mother Ann Lee,54775,Lock 7 Hydro Partners LLC,IPP Non-CHP,1 Shaker Ferry Road,Harrodsburg,Mercer,Kentucky,40330.0,hydroelectric,Hydroelectric = 2.3 MW,Conventional Hydroelectric,2.1,2.3,,,,,2.3,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-84.7247,37.8297
667,12237,1363,Cane Run,11249,Louisville Gas & Electric Co,Electric Utility,5252 Cane Run Road,Louisville,Jefferson,Kentucky,40216.0,natural gas,Natural Gas = 663 MW,Natural Gas Fired Combined Cycle,807.0,663.0,,,,,,,663.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.8892,38.1831
668,12238,1364,Mill Creek (KY),11249,Louisville Gas & Electric Co,Electric Utility,14660 Dixie Highway,Louisville,Jefferson,Kentucky,40272.0,coal,Coal = 1465 MW,Conventional Steam Coal,1717.2,1465.0,,,1465.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.9103,38.0525
669,12239,1365,Ohio Falls,11249,Louisville Gas & Electric Co,Electric Utility,811 North 27th Street,Shippingport Island,Jefferson,Kentucky,40212.0,hydroelectric,Hydroelectric = 100.8 MW,Conventional Hydroelectric,109.6,100.8,,,,,100.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.7792,38.2832
670,12240,1366,Paddys Run,11249,Louisville Gas & Electric Co,Electric Utility,4512 Bells Lane,Louisville,Jefferson,Kentucky,40211.0,natural gas,Natural Gas = 170 MW,Natural Gas Fired Combustion Turbine,210.6,170.0,,,,,,,170.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.841704,38.223592
671,12241,1371,Barkley,19462,USCE-Nashville District,Electric Utility,8439 US Highway 62W,Kuttawa,Lyon,Kentucky,42055.0,hydroelectric,Hydroelectric = 148 MW,Conventional Hydroelectric,130.0,148.0,,,,,148.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-88.2211,37.0217
672,12242,1376,Paris (KY),14459,City of Paris - (KY),Electric Utility,702 Scott Avenue,Paris,Bourbon,Kentucky,40361.0,petroleum,Petroleum = 11.9 MW,Petroleum Liquids,11.5,11.9,,,,,,,,,11.9,,,,"EIA-860, EIA-860M and EIA-923",202305,-84.2383,38.2049
673,12243,1377,Kentucky Dam,18642,Tennessee Valley Authority,Electric Utility,640 Kentucky Dam Rd.,Grand Rivers,Marshall,Kentucky,42045.0,hydroelectric,Hydroelectric = 222.5 MW,Conventional Hydroelectric,218.6,222.5,,,,,222.5,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-88.2692,37.0131
674,12244,1378,Paradise,18642,Tennessee Valley Authority,Electric Utility,5562 Rockport Paradise Road,Drakesboro,Muhlenberg,Kentucky,42337.0,natural gas,Natural Gas = 1100 MW,Natural Gas Fired Combined Cycle,1160.0,1100.0,,,,,,,1100.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.9783,37.2608
675,12245,1379,Shawnee,18642,Tennessee Valley Authority,Electric Utility,7900 Metropolis Lake Rd.,West Paducah,McCracken,Kentucky,42086.0,coal,Coal = 1206 MW,Conventional Steam Coal,1575.0,1206.0,,,1206.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-88.775,37.1517
676,12246,1380,Wolf Creek,19462,USCE-Nashville District,Electric Utility,980 Power Plant Road,Jamestown,Russell,Kentucky,42629.0,hydroelectric,Hydroelectric = 300 MW,Conventional Hydroelectric,270.0,300.0,,,,,300.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.147,36.8691
677,12247,1383,Robert A Reid,1692,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,Natural Gas = 58 MW,Natural Gas Fired Combustion Turbine,98.8,58.0,,,,,,,58.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.5019,37.6461
678,12248,1384,Cooper,5580,"East Kentucky Power Coop, Inc",Electric Utility,670 Cooper Power Plant Rd.,Somerset,Pulaski,Kentucky,42501.0,coal,Coal = 341 MW,Conventional Steam Coal,344.0,341.0,,,341.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-84.5919,36.9981
679,12249,1391,Louisiana 1,11241,Entergy Louisiana LLC,Industrial CHP,Gulf States Road,Baton Rouge,East Baton Rouge,Louisiana,70821.0,natural gas,"Natural Gas = 254.4 MW, Other = 128 MW",Natural Gas Fired Combustion Turbine; Other Gases;,450.9,382.4,,,,,,,254.4,,,,,128.0,"EIA-860, EIA-860M and EIA-923",202305,-91.1864,30.4922
680,12250,1392,Louisiana 2,11241,Entergy Louisiana LLC,Electric Utility,Gulf States Road,Baton Rouge,East Baton Rouge,Louisiana,70821.0,natural gas,Natural Gas = 138 MW,Natural Gas Steam Turbine,175.0,138.0,,,,,,,138.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-91.1864,30.4922
681,12251,1393,R S Nelson,11241,Entergy Louisiana LLC,Electric Utility,3500 Houston River Road,Westlake,Calcasieu,Louisiana,70669.0,coal,"Coal = 517.5 MW, Natural Gas = 424.7 MW, Petroleum = 190.4 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Coke,1433.6,1132.6,,,517.5,,,,424.7,,190.4,,,,"EIA-860, EIA-860M and EIA-923",202305,-93.2911,30.2844
682,12252,1396,Coughlin Power Station,3265,Cleco Power LLC,Electric Utility,2180 St Landry Hwy,St Landry,Evangeline,Louisiana,71367.0,natural gas,Natural Gas = 739.2 MW,Natural Gas Fired Combined Cycle,922.8,739.2,,,,,,,739.2,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-92.261111,30.8439
683,12253,1400,Teche,3265,Cleco Power LLC,Electric Utility,237 Newman St,Baldwin,St Mary,Louisiana,70514.0,natural gas,Natural Gas = 294 MW,Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine;,390.7,294.0,,,,,,,294.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-91.5425,29.822222
684,12254,1402,Little Gypsy,11241,Entergy Louisiana LLC,Electric Utility,17420 River Road,La Place,St Charles,Louisiana,70068.0,natural gas,Natural Gas = 867 MW,Natural Gas Steam Turbine,1002.9,867.0,,,,,,,867.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-90.461694,30.005067
685,12255,1403,Nine Mile Point,11241,Entergy Louisiana LLC,Electric Utility,1617 River Road,Westwego,Jefferson,Louisiana,70094.0,natural gas,Natural Gas = 2372.8 MW,Natural Gas Fired Combined Cycle; Natural Gas Steam Turbine;,2439.7,2372.8,,,,,,,2372.8,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-90.1458,29.9472
686,12256,1404,Sterlington,11241,Entergy Louisiana LLC,Electric Utility,PO Box 647,Sterlington,Ouachita,Louisiana,71280.0,natural gas,Natural Gas = 45.5 MW,Natural Gas Fired Combustion Turbine,59.3,45.5,,,,,,,45.5,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-92.0792,32.7047
687,12257,1416,Arsenal Hill,17698,Southwestern Electric Power Co,Electric Utility,520 North Allen,Shreveport,Caddo,Louisiana,71101.0,natural gas,Natural Gas = 110 MW,Natural Gas Steam Turbine,125.0,110.0,,,,,,,110.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-93.7611,32.5181
688,12258,1417,Lieberman,17698,Southwestern Electric Power Co,Electric Utility,11730 La Hwy 538,Mooringsport,Caddo,Louisiana,71060.0,natural gas,Natural Gas = 208 MW,Natural Gas Steam Turbine,228.0,208.0,,,,,,,208.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-93.9597,32.7047
689,12259,1439,Houma,8884,Terrebonne Parish Consol Gov't,Electric Utility,1551 Barrow Street,Houma,Terrebonne,Louisiana,70360.0,natural gas,Natural Gas = 67.5 MW,Natural Gas Steam Turbine,78.9,67.5,,,,,,,67.5,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-90.7225,29.5806
690,12260,1453,New Roads,26253,Louisiana Energy & Power Authority,Electric Utility,215 Oak Street,New Roads,Pointe Coupee,Louisiana,70760.0,petroleum,Petroleum = 7 MW,Petroleum Liquids,9.4,7.0,,,,,,,,,7.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-91.368333,30.726111
691,12261,1456,Rayne,26253,Louisiana Energy & Power Authority,Electric Utility,801 The Boulevard,Rayne,Acadia,Louisiana,70578.0,petroleum,Petroleum = 7 MW,Petroleum Liquids,8.2,7.0,,,,,,,,,7.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-92.272174,30.234627
692,12262,1464,Big Cajun 1,11252,Louisiana Generating LLC,IPP Non-CHP,7807 River Road - Hwy 415,Jarreau,Pointe Coupee,Louisiana,70749.0,natural gas,Natural Gas = 370 MW,Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine;,492.8,370.0,,,,,,,370.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-91.3556,30.6739
693,12263,1469,Ellsworth Hydro Station,59178,"Brookfield Black Bear Hydro, LLC",IPP Non-CHP,Grant Street,Ellsworth,Hancock,Maine,4605.0,hydroelectric,Hydroelectric = 9.3 MW,Conventional Hydroelectric,8.9,9.3,,,,,9.3,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-68.4306,44.5442
694,12264,1475,Milford Hydro Station,59178,"Brookfield Black Bear Hydro, LLC",IPP Non-CHP,Davenport Street,Milford,Penobscot,Maine,4461.0,hydroelectric,Hydroelectric = 7.8 MW,Conventional Hydroelectric,7.8,7.8,,,,,7.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-68.64504,44.942064
695,12265,1478,Stillwater Hydro Station,59178,"Brookfield Black Bear Hydro, LLC",IPP Non-CHP,Free Street,Stillwater,Penobscot,Maine,4468.0,hydroelectric,Hydroelectric = 2.1 MW,Conventional Hydroelectric,1.8,2.1,,,,,2.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-68.6833,44.9094
696,12266,1482,Bonny Eagle,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Route 35,Hollis,York,Maine,4042.0,hydroelectric,Hydroelectric = 9 MW,Conventional Hydroelectric,7.2,9.0,,,,,9.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.611553,43.687688
697,12267,1483,Brunswick Hydro,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Maine Street,Brunswick,Cumberland,Maine,4011.0,hydroelectric,Hydroelectric = 20 MW,Conventional Hydroelectric,19.6,20.0,,,,,20.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.967819,43.920486
698,12268,1484,Cape Gas Turbine,14876,FPL Energy Cape LLC,IPP Non-CHP,2 Ocean Street,Portland,Cumberland,Maine,4106.0,petroleum,Petroleum = 32 MW,Petroleum Liquids,35.0,32.0,,,,,,,,,32.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.2544,43.6436
699,12269,1486,Cataract Hydro,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,150 Maine Street,Saco,York,Maine,4072.0,hydroelectric,Hydroelectric = 8 MW,Conventional Hydroelectric,6.6,8.0,,,,,8.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.4472,43.4956
700,12270,1488,Deer Rips,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,150 Deer Rips Road,Auburn,Androscoggin,Maine,4210.0,hydroelectric,Hydroelectric = 6.2 MW,Conventional Hydroelectric,6.5,6.2,,,,,6.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.203715,44.134572
701,12271,1491,Gulf Island,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,259 Switzerland Rd,Lewiston,Androscoggin,Maine,4240.0,hydroelectric,Hydroelectric = 23.2 MW,Conventional Hydroelectric,19.2,23.2,,,,,23.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.209378,44.152854
702,12272,1492,Harris Hydro,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Indian Pond Rd,West Forks,Somerset,Maine,4985.0,hydroelectric,Hydroelectric = 87.4 MW,Conventional Hydroelectric,76.4,87.4,,,,,87.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.8658,45.4592
703,12273,1493,Hiram,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Route 113,Hiram,Cumberland,Maine,4024.0,hydroelectric,Hydroelectric = 11.6 MW,Conventional Hydroelectric,10.5,11.6,,,,,11.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.7969,43.8525
704,12274,1497,Messalonskee 2 (Oakland),56854,Messalonskee Stream Hydro LLC,IPP Non-CHP,25 Cascade Mill Road,Oakland,Kennebec,Maine,4963.0,hydroelectric,Hydroelectric = 2.8 MW,Conventional Hydroelectric,2.8,2.8,,,,,2.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.710404,44.548544
705,12275,1498,Messalonskee 3,56854,Messalonskee Stream Hydro LLC,IPP Non-CHP,52 Rice Rips Road,Oakland,Kennebec,Maine,4963.0,hydroelectric,Hydroelectric = 1.6 MW,Conventional Hydroelectric,1.6,1.6,,,,,1.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.681841,44.569872
706,12276,1500,Messalonskee 5,56854,Messalonskee Stream Hydro LLC,IPP Non-CHP,58 West River Road,Waterville,Kennebec,Maine,4901.0,hydroelectric,Hydroelectric = 1.8 MW,Conventional Hydroelectric,1.8,1.8,,,,,1.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.652232,44.534397
707,12277,1501,North Gorham,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,North Gorham Road,Gorham,Cumberland,Maine,4038.0,hydroelectric,Hydroelectric = 2 MW,Conventional Hydroelectric,2.2,2.0,,,,,2.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.44992,43.802517
708,12278,1504,Shawmut,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Bray Avenue,Shawmut,Somerset,Maine,4975.0,hydroelectric,Hydroelectric = 9.2 MW,Conventional Hydroelectric,8.8,9.2,,,,,9.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.583527,44.629517
709,12279,1505,Skelton,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Union Falls Road,Dayton,York,Maine,4042.0,hydroelectric,Hydroelectric = 21.6 MW,Conventional Hydroelectric,16.8,21.6,,,,,21.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.5583,43.5708
710,12280,1507,William F Wyman Hybrid,31719,FPL Energy Wyman LLC,IPP Non-CHP,677 Cousins Street,Yarmouth,Cumberland,Maine,4096.0,petroleum,"Battery = 16.2 MW, Petroleum = 810.9 MW",Batteries; Petroleum Liquids;,862.7,827.1,16.2,,,,,,,,810.9,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.1567,43.7508
711,12281,1508,West Buxton,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Route 112,Buxton,York,Maine,4093.0,hydroelectric,Hydroelectric = 7.7 MW,Conventional Hydroelectric,7.7,7.7,,,,,7.7,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.602125,43.66687
712,12282,1509,Weston Hydro,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Island Avenue,Skowhegan,Somerset,Maine,4976.0,hydroelectric,Hydroelectric = 13.2 MW,Conventional Hydroelectric,12.0,13.2,,,,,13.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.71828,44.763875
713,12283,1510,Williams Hydro,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Route 16,Solon,Somerset,Maine,4979.0,hydroelectric,Hydroelectric = 14.9 MW,Conventional Hydroelectric,13.0,14.9,,,,,14.9,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.8703,44.9589
714,12284,1511,Wyman Hydro,39006,Brookfield White Pine Hydro LLC,IPP Non-CHP,Station Road,Bingham,Somerset,Maine,4920.0,hydroelectric,Hydroelectric = 88.5 MW,Conventional Hydroelectric,72.0,88.5,,,,,88.5,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-69.9064,45.0703
715,12285,1516,Squa Pan Hydro Station,14597,Algonquin Northern Maine,IPP Non-CHP,Sterling Ridge Rd.,Masardis,Aroostook,Maine,4732.0,hydroelectric,Hydroelectric = 1.4 MW,Conventional Hydroelectric,1.5,1.4,,,,,1.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-68.325538,46.556477
716,12286,1554,Herbert A Wagner,60422,H.A. Wagner LLC,IPP Non-CHP,1000 Brandon Shores Rd,Baltimore,Anne Arundel,Maryland,21226.0,petroleum,"Coal = 305 MW, Petroleum = 535.9 MW",Conventional Steam Coal; Petroleum Liquids;,922.5,840.9,,,305.0,,,,,,535.9,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.5268,39.1781
717,12287,1556,Perryman,4161,"Constellation Power Source Generation, LLC",IPP Non-CHP,Bush River Neck Rd,Harford County,Harford,Maryland,21130.0,natural gas,"Natural Gas = 248.8 MW, Petroleum = 155 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,492.3,403.8,,,,,,,248.8,,155.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.221761,39.442836
718,12288,1557,Philadelphia,4161,"Constellation Power Source Generation, LLC",IPP Non-CHP,3914 Pulaski Highway,Baltimore,Baltimore City,Maryland,21205.0,petroleum,Petroleum = 60.9 MW,Petroleum Liquids,82.8,60.9,,,,,,,,,60.9,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.5636,39.2986
719,12289,1563,Crisfield,56609,Calpine Mid-Atlantic Generation LLC,IPP Non-CHP,4079 Crisfield Highway,Crisfield,Somerset,Maryland,21817.0,petroleum,Petroleum = 10.4 MW,Petroleum Liquids,11.6,10.4,,,,,,,,,10.4,,,,"EIA-860, EIA-860M and EIA-923",202305,-75.837679,37.994134
720,12290,1564,Vienna Operations,19830,NRG Vienna Operations Inc,IPP Non-CHP,Chapel of Ease Road,Vienna,Dorchester,Maryland,21869.0,petroleum,Petroleum = 167.3 MW,Petroleum Liquids,180.6,167.3,,,,,,,,,167.3,,,,"EIA-860, EIA-860M and EIA-923",202305,-75.8208,38.4878
721,12291,1567,Deep Creek,54679,BP Piney & Deep Creek LLC,IPP Non-CHP,14 River View Terrace,Oakland,Garrett,Maryland,21550.0,hydroelectric,Hydroelectric = 18 MW,Conventional Hydroelectric,20.0,18.0,,,,,18.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-79.413,39.523
722,12292,1571,Chalk Point Power,12653,"Lanyard Power Holdings, LLC",IPP Non-CHP,P.O.  10,Aquasco,Prince Georges,Maryland,20608.0,natural gas,"Natural Gas = 1570.3 MW, Petroleum = 24 MW",Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine; Petroleum Liquids,1809.0,1594.3,,,,,,,1570.3,,24.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.6861,38.5444
723,12293,1572,Dickerson Power,12653,"Lanyard Power Holdings, LLC",IPP Non-CHP,21200 Martinsburg Rd.,Dickerson,Montgomery,Maryland,20842.0,natural gas,Natural Gas = 294 MW,Natural Gas Fired Combustion Turbine,326.0,294.0,,,,,,,294.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-77.4644,39.2097
724,12294,1573,Morgantown Generating Plant,12653,"Lanyard Power Holdings, LLC",IPP Non-CHP,12620 Crain Highway,Newburg,Charles,Maryland,20664.0,petroleum,Petroleum = 216 MW,Petroleum Liquids,260.0,216.0,,,,,,,,,216.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.9767,38.3592
725,12295,1574,Conowingo,6035,"Constellation Power, Inc",IPP Non-CHP,2569 Shures Landing Rd.,Darlington,Harford,Maryland,21034.0,hydroelectric,Hydroelectric = 572 MW,Conventional Hydroelectric,530.8,572.0,,,,,572.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.1752,39.6572
726,12296,1580,Easton,5625,Easton Utilities Comm,Electric Utility,219 N. Washington Street,Easton,Talbot,Maryland,21601.0,petroleum,Petroleum = 31.9 MW,Petroleum Liquids,33.6,31.9,,,,,,,,,31.9,,,,"EIA-860, EIA-860M and EIA-923",202305,-76.0769,38.7786
727,12297,1586,Exelon Framingham LLC,6035,"Constellation Power, Inc",IPP Non-CHP,93 Leland Street,Framingham,Norfolk,Massachusetts,1701.0,petroleum,Petroleum = 30.6 MW,Petroleum Liquids,42.6,30.6,,,,,,,,,30.6,,,,"EIA-860, EIA-860M and EIA-923",202305,-71.3983,42.2672
728,12298,1588,Mystic Generating Station,49965,Constellation Mystic Power LLC,IPP Non-CHP,173 Alford Street,Charlestown,Middlesex,Massachusetts,2129.0,natural gas,Natural Gas = 1413.4 MW,Natural Gas Fired Combined Cycle,1744.4,1413.4,,,,,,,1413.4,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-71.0675,42.3908
729,12299,1592,Exelon Medway LLC,6035,"Constellation Power, Inc",IPP Non-CHP,9 Summer Street,Medway,Norfolk,Massachusetts,2053.0,petroleum,Petroleum = 123.8 MW,Petroleum Liquids,135.0,123.8,,,,,,,,,123.8,,,,"EIA-860, EIA-860M and EIA-923",202305,-71.446441,42.140028
730,12300,1595,Kendall Square Station,59528,"Kendall Green Energy, LLC",IPP CHP,265 First Street,Cambridge,Middlesex,Massachusetts,2142.0,natural gas,"Natural Gas = 206 MW, Petroleum = 18 MW",Natural Gas Fired Combined Cycle; Petroleum Liquids;,234.7,224.0,,,,,,,206.0,,18.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-71.0792,42.3633
731,12301,1597,Oak Bluffs Diesel Generating Facility,64488,Vineyard Reliability LLC,IPP Non-CHP,C/O NSTAR 208 Edgartown Rd.,Oak Bluffs,Dukes,Massachusetts,2557.0,petroleum,Petroleum = 8.4 MW,Petroleum Liquids,8.1,8.4,,,,,,,,,8.4,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.608273,41.425786
732,12302,1599,Canal,61708,Canal Generating LLC,IPP Non-CHP,9 Freezer Road,Sandwich,Barnstable,Massachusetts,2563.0,petroleum,"Natural Gas = 330 MW, Petroleum = 1118.8 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,1495.0,1448.8,,,,,,,330.0,,1118.8,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.5097,41.7694
733,12303,1603,Boatlock,8776,City of Holyoke Gas and Electric Dept.,Electric Utility,28 Gatehouse Road,Holyoke,Hampden,Massachusetts,1040.0,hydroelectric,Hydroelectric = 3.4 MW,Conventional Hydroelectric,3.1,3.4,,,,,3.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.6014,42.2086
734,12304,1604,Chemical,8776,City of Holyoke Gas and Electric Dept.,Electric Utility,228 South Water Street,Holyoke,Hampden,Massachusetts,1040.0,hydroelectric,Hydroelectric = 1.6 MW,Conventional Hydroelectric,1.6,1.6,,,,,1.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.6097,42.1919
735,12305,1605,Hadley Falls,8776,City of Holyoke Gas and Electric Dept.,Electric Utility,25 Gatehouse Road,Holyoke,Hampden,Massachusetts,1040.0,hydroelectric,Hydroelectric = 33.1 MW,Conventional Hydroelectric,33.4,33.1,,,,,33.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.6036,42.2119
736,12306,1607,Riverside Holyoke,8776,City of Holyoke Gas and Electric Dept.,Electric Utility,30 Water Street,Holyoke,Hampden,Massachusetts,1040.0,hydroelectric,Hydroelectric = 6.9 MW,Conventional Hydroelectric,6.9,6.9,,,,,6.9,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.594432,42.200592
737,12307,1615,Nantucket Hybrid,13206,Nantucket Electric Co,Electric Utility,Bunker Road,Nantucket,Nantucket,Massachusetts,2554.0,petroleum,"Battery = 6 MW, Petroleum = 14.5 MW",Batteries; Petroleum Liquids;,22.4,20.5,6.0,,,,,,,,14.5,,,,"EIA-860, EIA-860M and EIA-923",202305,-70.0517,41.2583
738,12308,1620,Deerfield 5,61122,"Great River Hydro, LLC",IPP Non-CHP,522 River Road,Florida,Berkshire,Massachusetts,1247.0,hydroelectric,Hydroelectric = 13.9 MW,Conventional Hydroelectric,17.5,13.9,,,,,13.9,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.9561,42.69118
739,12309,1629,Cabot,58185,"FirstLight Power Resources, Inc. - MA",IPP Non-CHP,15 Cabot Street,Montague,Franklin,Massachusetts,1376.0,hydroelectric,Hydroelectric = 61.8 MW,Conventional Hydroelectric,61.8,61.8,,,,,61.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.5793,42.5875
740,12310,1630,Cobble Mountain,8776,City of Holyoke Gas and Electric Dept.,Electric Utility,Old Granville Road,Granville,Hampden,Massachusetts,1034.0,hydroelectric,Hydroelectric = 32.6 MW,Conventional Hydroelectric,33.0,32.6,,,,,32.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-72.864663,42.117112
